1,Elementum Aqua N/Steel,SS014527000,"5,6",5,"Smartwatch,Premiumsportswatch",Suunto Elementum Aqua Steel - Premium Sports Watch For Urban And Underwater Use,"Suunto Elementum Aqua is a superbly crafted timepiece exclusively manufactured in Finland.  It combines a heritage in craftsmanship with the functionality of a high-technology diving watch. While the Aqua is perfect for urban use, in water it transforms into a dive watch. The Aqua automatically detects when the user enters water and starts all the functions and measurements needed for an enjoyable dive. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,1Ambitsports.jpg,2Ambitsports.jpg,"18-Auto dive mode with depth/Max Depth/Dive Time,13-Male,14-L/M/S,15-Black/Black/Green",1,1,79950,"XL-2,L-3",0,https://www.youtube.com/embed/1NJWh5ex7ew,0
2,Elementum Aqua N/Black Rubber,SS014528000,"5,9,10",5,"Smartwatch,Premiumsportswatch",Suunto Elementum Aqua Black Rubber / Dark Display - Premium Sports Watch For Urban And Underwater Use,"Suunto Elementum Aqua is a superbly crafted timepiece exclusively manufactured in Finland.  It combines a heritage in craftsmanship with the functionality of a high-technology diving watch. While the Aqua is perfect for urban use, in water it transforms into a dive watch. The Aqua automatically detects when the user enters water and starts all the functions and measurements needed for an enjoyable dive. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,suunto.jpg,"1suunto.jpg,2suunto.jpg","18-Altimeter/Barometric pressure & trend/3D:compass,13-Female,14-L/M/S,15-Red",2,1,62950,"XXL-10,10-5",0,https://www.youtube.com/embed/1NJWh5ex7ew,0
3,Elementum Terra N/Steel,SS014521000,"5,10",5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra N/Steel - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,white.jpg,"1white.jpg,2white.jpg","18- Altimeter/Barometric pressure/trend/3D compass,13-Male,14-L/M/S,15-Blue",2,1,79950,"S-7,L-4,XXL-3",0,https://www.youtube.com/embed/1NJWh5ex7ew,0
4,Elementum Terra N/ Black/Red Leather,SS019171000,"5,13",5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra Black/Red Leather - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,black.jpg,"1black.jpg,2black.jpg","18-Max Depth/descent/max/altitude,13-Male,14-L/M/S,15-Black/white",0,1,65950,"10-5,12-6",0,0,0
5,Elementum Terra N/ Black/Yellow Leather,SS019997000,"5,15",5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra Black/Yellow Leather - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,ambit.jpg,"1ambit.jpg,2ambit.jpg","18- Log:last 8 ascent/descent/max/altitude,13-Male,14-L/M/S,15-Green/SteelBlack",0,1,65950,"XL-2,L-3",0,https://www.youtube.com/embed/1NJWh5ex7ew,0
6,Elementum Terra All Black N/Black,SS016979000,"5,15",5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra All Black - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,steelblack.jpg,"1steelblack.jpg,2steelblack.jpg","18-Auto dive mode with depth/Max Depth/Dive Time,13-Female,14-L/M/S,15-Blue/White",0,1,64950,"S-2,XXL-2",0,https://www.youtube.com/embed/1NJWh5ex7ew,0
7,Elementum Terra P/Black Rubber,SS018732000,5,5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra P/Black Rubber - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,blue.jpg,"1blue.jpg,2blue.jpg","18-Log :last 14 dives/Altimeter/Barometric pressure & trend/3D compass,13-Female,14-L/M/S,15-Black/white",1,1,64950,"XL-10,L-5,XXL-5",0,https://www.youtube.com/embed/1NJWh5ex7ew,0
8,Elementum Terra N/Stealth Rubber,SS020336000,5,5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra N/Stealth Rubber - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,blueblack.jpg,1blueblack.jpg,"18-last 8 ascent/descent/max/altitude,13-Male,14-L/M/S,15-Blue",2,1,69950,"S-4,XXL-5",0,0,0
9,Elementum Terra N/Amber Rubber,SS019172000,5,5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra N/Amber Rubber - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,peakblack.jpg,"1peakblack.jpg,2peakblack.jpg","18-Auto dive mode with depth/Water Temperature/Loglast14dives,13-Male,14-L/M/S,15-Green/SteelBlack",1,1,64950,"XXL-9,L-9",0,0,0
10,Elementum Terra N/Brown Leather,SS018733000,5,5,"Smartwatch,Premiumsportswatch",Suunto Elementum Terra N/Brown Leather - Premium Sports Watch For Urban And Mountain Life,"Suunto Elementum Terra is a superbly crafted timepiece, exclusively manufactured in Finland. This urban inspired premium watch combines a heritage in craftsmanship with precision digital technology. While the Terra is perfect for urban use, it also measures altitude and weather trends and includes a unique 3D compass for adventures in the great outdoors. Designed with stainless steel casing and a sapphire crystal glass to withstand the elements.",0,Sunnto watch,Sunnto watch,Sunnto watch,0,0,"18- Max Depth/Dive Time/Water Temperature,13-Male,14-L/M/S,15-Black/White",2,1,64950,"XL-2,M-2,S-3",0,0,0
